City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,clyde river,75,CA,1516507200,76,70.47,-68.59,-4.01,21.92
1,krumbach,40,DE,1516508400,94,48.24,10.36,33.8,3.36
2,agirish,20,RU,1516509607,68,61.92,63.02,-8.93,6.85
3,rikitea,32,PF,1516509607,99,-23.12,-134.97,80.63,12.1
4,novopokrovka,36,RU,1516509608,56,45.85,134.51,-1.01,7.63
5,fort nelson,90,CA,1516507200,92,58.81,-122.69,17.6,2.24
6,ontario,20,US,1516507080,37,34.07,-117.65,57.2,4.7
7,fortuna,0,ES,1516509000,47,38.18,-1.13,59.0,9.17
8,hilo,90,US,1516507980,94,19.71,-155.08,71.6,5.82
9,kavaratti,0,IN,1516509612,100,10.57,72.64,82.34,1.81
10,vaini,0,IN,1516509612,38,15.34,74.49,83.69,6.02
11,ponta do sol,8,BR,1516509613,69,-20.63,-46.0,67.04,2.89
12,puerto ayora,44,EC,1516509613,100,-0.74,-90.35,73.61,7.25
13,geraldton,90,CA,1516507200,78,49.72,-86.95,8.6,3.0
14,hermanus,36,ZA,1516509615,90,-34.42,19.24,69.11,4.61
15,ushuaia,40,AR,1516507200,46,-54.81,-68.31,53.6,25.28
16,kaitangata,12,NZ,1516509615,73,-46.28,169.85,65.01,11.77
17,tiksi,48,RU,1516509616,83,71.64,128.87,-26.79,3.56
18,victoria,90,BN,1516507200,83,5.28,115.24,87.8,4.7
19,andros town,75,BS,1516507200,68,24.73,-77.79,71.6,4.7
20,marrakesh,0,MA,1516507200,75,31.63,-7.99,44.6,1.12
21,mataura,0,NZ,1516509620,53,-46.19,168.86,71.27,11.43
22,atuona,56,PF,1516509620,100,-9.8,-139.03,80.72,17.13
23,sur,0,OM,1516509621,97,22.57,59.53,71.85,2.33
24,paraiso,8,MX,1516509622,58,24.01,-104.61,36.26,6.35
25,kuzedeyevo,20,RU,1516509622,52,53.33,87.2,-18.24,3.49
26,karlstad,80,SE,1516508400,100,59.38,13.5,24.8,2.24
27,kidal,0,ML,1516509623,37,18.44,1.41,52.01,13.18
28,cabo san lucas,40,MX,1516506000,82,22.89,-109.91,66.2,11.1
29,port alfred,80,ZA,1516509626,84,-33.59,26.89,74.64,20.83
30,lavrentiya,0,RU,1516509626,100,65.58,-170.99,0.53,11.27
31,dingle,64,PH,1516509626,74,11.0,122.67,83.06,13.85
32,chokurdakh,0,RU,1516509627,0,70.62,147.9,-35.07,3.22
